term_id	locale	title	slug	genre_term_id	genre_name	genre_slug
21055	en	Hard Bop Boulevard	hard-bop-boulevard__jazz-en	16768	Jazz	jazz-en
34494	en	Harmonious	sonoor__hedendaags-en	3326	Contemporary Music	contemporary-music
40286	en	Historical fundament for Tivoli Vredenburg	historisch-fundament-voor-tivoli-vredenburg__raakvlakken-en	17244	Cultural Interfaces	cultural-interfaces
23854	en	Holiday for Hipsters	holiday-for-hipsters__jazz-en	16768	Jazz	jazz-en
19654	en	Holland Jazz	holland-jazz__jazz-en	16768	Jazz	jazz-en
23367	en	House of Hard Bop	house-of-hard-bop__jazz-en	16768	Jazz	jazz-en
66030	en	Hummel revisited	herkansing-voor-hummel__klassiek-en	3268	Classical Music	classical-music
24067	en	Il Futurismo	il-futurismo-contemporary-music	3326	Contemporary Music	contemporary-music
155402	en	In the Spotlight	in-de-schijnwerper__klassiek-en	3268	Classical Music	classical-music
221117	en	inJazz	injazz__jazz-en	16768	Jazz	jazz-en
185418	en	inJazz Radio	injazz-radio__jazz-en	16768	Jazz	jazz-en
36429	en	Inventions For Radio	inventions-for-radio__crosslinks-en	5193	Crosslinks	crosslinks-en
216713	en	Irie Riddims	irie-riddims__wereld-en	16974	World Music	world-music
232411	en	Jammer	stoorzender__crosslinks-en	5193	Crosslinks	crosslinks-en
188145	en	Jazz &amp; Cocktails	jazz_cocktails__jazz-en	16768	Jazz	jazz-en
18387	en	Jazz Actua	jazz-actua__jazz-en	16768	Jazz	jazz-en
188149	en	Jazz beyond the Dikes	jazz_beyond_the_dikes__jazz-en	16768	Jazz	jazz-en
35091	en	Jazz Carrousel	jazz-carrousel__jazz-en	16768	Jazz	jazz-en
169055	en	Jazz Guitar	jazz-guitar__jazz-en	16768	Jazz	jazz-en
31346	en	Jazz Piano	jazz-piano__jazz-en	16768	Jazz	jazz-en
17983	en	Jazz Special	jazz-special__jazz-en	16768	Jazz	jazz-en
197201	en	Jazzkotabel	jazzkotabel__en	16768	Jazz	jazz-en
29191	en	JazzNotJazz	jazznotjazz__jazz-en	16768	Jazz	jazz-en
132856	en	JazzNotJazz Music &amp; Politics	jazznotjazzmp__jazz-en	16768	Jazz	jazz-en
41079	en	Joseph Boulogne	joseph-boulogne__klassiek-en	3268	Classical Music	classical-music
209158	en	Jump!	jump__jazz-en	16768	Jazz	jazz-en
34611	en	Kairos	kairos__modern-en	3326	Contemporary Music	contemporary-music
66293	en	Kairos	kairos__hedendaags-en	3326	Contemporary Music	contemporary-music
34609	en	Kairos	kairos__crosslinks-en	5193	Crosslinks	crosslinks-en
21364	en	Karavan’serai	karavanserai__jazz-en	16768	Jazz	jazz-en
18234	en	Klankenstapper	klankenstapper__wereld-en	16974	World Music	world-music
24335	en	Krizz Krazz	krizz-krazz__jazz-en	16768	Jazz	jazz-en
44343	en	Latin Jazz	latin-jazz__jazz-en	16768	Jazz	jazz-en
21358	en	Let&#8217;s Movie!	lets-movie-classical-music	3268	Classical Music	classical-music
21400	en	Let&#8217;s Movie!	lets-movie-pop-en	5193	Crosslinks	crosslinks-en
21356	en	Let&#8217;s Movie!	lets-movie	17244	Cultural Interfaces	cultural-interfaces
21398	en	Let&#8217;s Movie!	lets-movie-world-music	16974	World Music	world-music
232407	en	Liminal State	liminal-state__crosslinks-en	5193	Crosslinks	crosslinks-en
187142	en	Listen!	luister__klassiek-en	3268	Classical Music	classical-music
34537	en	Liszt &amp; Wagner	liszt-en-wagner__raakvlakken-en	17244	Cultural Interfaces	cultural-interfaces
153323	en	Little Big Bands	little-big-bands__jazz-en	16768	Jazz	jazz-en
225534	en	Live Forms	live-forms__crosslinks-en	5193	Crosslinks	crosslinks-en
18168	en	Live Jazz	live-jazz__jazz-en	16768	Jazz	jazz-en
132269	en	Long Live Beethoven!	leve-beethoven__klassiek-en	3268	Classical Music	classical-music
18573	en	Lüdeke Straight Ahead	ludeke-straightahead__jazz-en	16768	Jazz	jazz-en
31214	en	L’Esprit Baroque	lesprit-baroque__oud-en	3050	Early Music	early-music
37901	en	Madge-point	madgepoint__klassiek-en	3268	Classical Music	classical-music
18077	en	Mariama	mariama__wereld-en	16974	World Music	world-music
32290	en	Master - Pupil	master-pupil	3268	Classical Music	classical-music
184468	en	Master Pianists	meesterpianisten__klassiek-en	3268	Classical Music	classical-music
67876	en	Masumi Nagasawa and her special harps	masumi-nagasawa-en-haar-bijzondere-harpen__klassiek-en	3268	Classical Music	classical-music
20796	en	Metamorphoses	metamorfosen__wereld-en	16974	World Music	world-music
230586	en	Miles &amp; Coltrane at 100: Specials	miles-coltrane-at-100-specials__jazz-en	16768	Jazz	jazz-en
19715	en	Missa Etcetera	missa-etcetera__oud-en	3050	Early Music	early-music
21412	en	Moanin’ the Blues	moanin-the-blues__jazz-en	16768	Jazz	jazz-en
29160	en	Moments of Modern Jazz	moments-of-modern-jazz__jazz-en	16768	Jazz	jazz-en
65573	en	Morning Edition	ochtendeditie__klassiek-en	3268	Classical Music	classical-music
33486	en	Musicians Corner	musicians-corner__jazz-en	16768	Jazz	jazz-en
188153	en	Neo Bop	neo_bop__jazz-en	16768	Jazz	jazz-en
27680	en	New Folk Sounds on Air	new-folk-sounds-on-air__wereld-en	16974	World Music	world-music
77720	en	New Music	nieuwe-muziek__hedendaags-en	3326	Contemporary Music	contemporary-music
36279	en	New releases	nieuw-verschenen__klassiek-en	3268	Classical Music	classical-music
22710	en	New releases	nieuw-verschenen__jazz-en	16768	Jazz	jazz-en
47717	en	Nikolai Myaskovsky	nikolaj-mjaskovski__klassiek-en	3268	Classical Music	classical-music
188169	en	Nordic Sounds	nordic_sounds__jazz-en	16768	Jazz	jazz-en
145094	en	Northern Lights	noorderlicht__hedendaags-en	3326	Contemporary Music	contemporary-music
193966	en	Nowadays	nowadays	3326	Contemporary Music	contemporary-music
193968	en	Nowadays	nowadays-modern-music	3322	Modern Music	modern-music
27891	en	Nuove Musiche	nuove-musiche__oud-en	3050	Early Music	early-music
155791	en	O Brasil da Lil	o-brasil-da-lil__wereld-en	16974	World Music	world-music
