term_id	program_source_key	locale	title_nl	title_en	source_title	source_slug	genre_term_id	genre_key	source_genre_name	source_genre_slug
30927	30611	en	X-Rated	X-Rated	X-Rated	xrated__crosslinks-en	5193	crosslinks	Crosslinks	crosslinks-en
30611	30611	nl	X-Rated	X-Rated	X-Rated	xrated__crosslinks-nl	5191	crosslinks	Crosslinks	crosslinks
30624	30624	nl	Bijzondere instrumenten		Bijzondere instrumenten	bijzondere-instrumenten	3266	klassiek	Klassiek	klassieke-muziek
65543	30764	en	Electronic Frequencies	Electronic Frequencies	Electronic Frequencies	electronic-frequencies__crosslinks-en	5193	crosslinks	Crosslinks	crosslinks-en
30764	30764	nl	Electronic Frequencies	Electronic Frequencies	Electronic Frequencies	electronic-frequencies__crosslinks-nl	5191	crosslinks	Crosslinks	crosslinks
34288	30790	en	Zwerven door de Barok	Roaming the Baroque	Roaming the Baroque	zwerven-door-de-barok__oud-en	3050	oud	Early Music	early-music
30790	30790	nl	Zwerven door de Barok	Roaming the Baroque	Zwerven door de Barok	zwerven-door-de-barok__oud-nl	3048	oud	Oud	oude-muziek
31168	31168	nl	Oorlog en Vrede		Oorlog en Vrede	oorlog-en-vrede	3266	klassiek	Klassiek	klassieke-muziek
31176	31176	nl	Musica Maluku!		Musica Maluku!	musica-maluku	16972	wereld	Wereld	wereldmuziek
31186	31184	en	Duke Ellington	Duke Ellington	Duke Ellington	duke-ellington__jazz-en	16768	jazz	Jazz	jazz-en
31184	31184	nl	Duke Ellington	Duke Ellington	Duke Ellington	duke-ellington__jazz-nl	16766	jazz	Jazz	jazz
31346	31189	en	Jazz Piano	Jazz Piano	Jazz Piano	jazz-piano__jazz-en	16768	jazz	Jazz	jazz-en
31189	31189	nl	Jazz Piano	Jazz Piano	Jazz Piano	jazz-piano__jazz-nl	16766	jazz	Jazz	jazz
35091	31192	en	Jazz Carrousel	Jazz Carrousel	Jazz Carrousel	jazz-carrousel__jazz-en	16768	jazz	Jazz	jazz-en
31192	31192	nl	Jazz Carrousel	Jazz Carrousel	Jazz Carrousel	jazz-carrousel__jazz-nl	16766	jazz	Jazz	jazz
34184	31194	en	Vocal Jazz	Vocal Jazz	Vocal Jazz	vocale-jazz__jazz-en	16768	jazz	Jazz	jazz-en
31194	31194	nl	Vocal Jazz	Vocal Jazz	Vocal Jazz	vocale-jazz__jazz-nl	16766	jazz	Jazz	jazz
31214	31212	en	L’Esprit Baroque	L’Esprit Baroque	L’Esprit Baroque	lesprit-baroque__oud-en	3050	oud	Early Music	early-music
31212	31212	nl	L’Esprit Baroque	L’Esprit Baroque	L’Esprit Baroque	lesprit-baroque__oud-nl	3048	oud	Oud	oude-muziek
31306	31302	en	Kraak Helder	Clear as Crystal	Clear as Crystal	kraak-helder__crosslinks-en	5193	crosslinks	Crosslinks	crosslinks-en
66723	31302	en	Kraak Helder	Clear as Crystal	Clear as Crystal	kraak-helder__hedendaags-en	3326	hedendaags	Contemporary Music	contemporary-music
31302	31302	nl	Kraak Helder	Clear as Crystal	Kraak Helder	kraak-helder__crosslinks-nl	5191	crosslinks	Crosslinks	crosslinks
60281	31302	nl	Kraak Helder	Clear as Crystal	Kraak Helder	kraak-helder__hedendaags-nl	3324	hedendaags	Hedendaags	hedendaagse-muziek
